Saison;Journee;Domicile;Exterieur;Score domicile;Score Exterieur;Derby;ELO domicile avant match;ELO extérieur avant match;ELO domicile après match;ELO extérieur après match
25-26;8;Charleville-Mézières;Chartres;83;67;0;1588.7888932421527;1357.7012571900707;1596.11;1352.47
25-26;8;Toulouse;Charnay;57;90;0;1451.0540667870491;1618.1261217990086;1441.38;1625.04
25-26;8;Villeneuve d'Ascq;Lyon;65;92;0;1569.3808896048092;1499.9688514475722;1548.43;1514.93
25-26;9;Angers;Charnay;84;91;0;1511.1109280149378;1625.039350330581;1499.15;1633.58
25-26;9;Basket Landes;Charleville-Mézières;75;67;0;1699.3957974993973;1596.108039030883;1711.84;1587.22
25-26;9;Bourges;Toulouse;86;63;0;1692.695985491704;1441.3755468428478;1699.36;1436.61
25-26;9;Chartres;Villeneuve d'Ascq;60;78;0;1352.473295912406;1548.430455988997;1343.91;1554.54
25-26;9;Landerneau;Lattes Montpellier;72;68;0;1450.5284128569647;1647.292472034497;1477.0;1628.38
25-26;9;Roche Vendée;Lyon;70;66;0;1369.8645572939924;1514.933446887438;1394.27;1497.5
25-26;10;Lattes Montpellier;Angers;79;76;0;1628.3842126550305;1499.15219263779;1639.66;1491.1
25-26;10;Villeneuve d'Ascq;Basket Landes;77;72;0;1554.5436227764023;1711.8413244343317;1579.47;1694.04
25-26;10;Charnay;Bourges;66;73;0;1633.581304171401;1699.3637437019415;1619.36;1709.52
25-26;10;Charleville-Mézières;Roche Vendée;72;67;0;1587.2183769345013;1394.2745641760216;1595.89;1388.08
25-26;10;Lyon;Chartres;78;64;0;1497.4977276859886;1343.9148624100385;1507.73;1336.61
25-26;10;Toulouse;Landerneau;64;78;0;1436.612862406964;1476.9999759882178;1421.14;1488.05
25-26;11;Bourges;Angers;79;64;0;1709.5249115249862;1491.098500277001;1717.27;1485.56
25-26;11;Basket Landes;Lyon;64;61;0;1694.0394743237239;1507.7292816096478;1702.96;1501.36
25-26;11;Charleville-Mézières;Villeneuve d'Ascq;83;75;1;1595.889461739896;1579.4662129312533;1614.94;1560.41
25-26;11;Landerneau;Charnay;82;66;0;1488.0534423611086;1619.3556692191385;1511.87;1602.34
25-26;11;Chartres;Roche Vendée;67;72;0;1336.6066096074246;1388.0809321721683;1321.68;1398.74
25-26;11;Lattes Montpellier;Toulouse;75;66;0;1639.659381960135;1421.1380094849167;1647.41;1415.6
25-26;12;Angers;Roche Vendée;69;76;1;1485.562798138418;1398.7424265825216;1460.67;1423.64
25-26;12;Landerneau;Basket Landes;56;66;0;1511.8691603040488;1702.962034262286;1503.13;1709.21
25-26;12;Bourges;Chartres;82;52;0;1717.2748945190024;1321.6805174329302;1720.53;1319.35
25-26;12;Lattes Montpellier;Charleville-Mézières;67;59;0;1647.4060670702765;1614.9447670605434;1663.28;1603.61
25-26;12;Charnay;Lyon;77;73;1;1602.3444421170382;1501.356024510675;1616.69;1487.01
25-26;12;Toulouse;Villeneuve d'Ascq;70;65;0;1415.6046629776727;1560.4109076106058;1440.0;1542.98
25-26;13;Lyon;Angers;72;67;0;1487.0110155622722;1460.666509587029;1503.19;1449.11
25-26;13;Basket Landes;Bourges;60;69;0;1709.20544258755;1720.530835440038;1692.28;1732.62
25-26;13;Charleville-Mézières;Landerneau;72;56;0;1603.6092697186361;1503.1283886486792;1616.18;1494.15
25-26;13;Chartres;Charnay;92;101;0;1319.3548453464762;1616.689451065441;1314.0;1620.51
25-26;13;Villeneuve d'Ascq;Lattes Montpellier;91;81;0;1542.9831669200082;1663.2757633489466;1566.31;1646.61
25-26;13;Roche Vendée;Toulouse;83;74;0;1423.6387151339106;1440.0034999445095;1441.96;1426.92
25-26;14;Angers;Chartres;61;70;1;1449.1125170450946;1314.0013546646387;1421.7;1341.41
25-26;14;Charnay;Basket Landes;76;84;0;1620.5133729810393;1692.2756898922785;1606.58;1702.23
25-26;14;Bourges;Charleville-Mézières;80;66;0;1732.6235159366604;1616.1846825996697;1744.47;1607.72
25-26;14;Landerneau;Villeneuve d'Ascq;72;66;0;1494.1459508765124;1566.3111537237892;1515.23;1551.25
25-26;14;Lattes Montpellier;Roche Vendée;70;68;0;1646.6129156319603;1441.9623847491898;1654.85;1436.08
25-26;14;Toulouse;Lyon;76;75;0;1426.9151645050244;1503.1866051209804;1448.2;1487.99
25-26;15;Basket Landes;Angers;66;55;0;1702.2299330672354;1421.7046109090309;1708.04;1417.56
25-26;15;Bourges;Villeneuve d'Ascq;65;62;0;1744.4687439556778;1551.2515064162076;1753.13;1545.07
25-26;15;Charleville-Mézières;Charnay;84;48;0;1607.7238054432287;1606.5774325360996;1625.17;1594.12
25-26;15;Chartres;Toulouse;63;91;0;1341.4092608007024;1448.1963378665448;1329.12;1456.97
25-26;15;Roche Vendée;Landerneau;85;67;0;1436.0773691253;1515.2294571071268;1457.5;1499.93
25-26;15;Lyon;Lattes Montpellier;70;80;1;1487.9857670056087;1654.8519375054059;1476.92;1665.92
25-26;16;Angers;Charleville-Mézières;46;74;0;1417.5566454580603;1625.1660639397426;1409.42;1630.97
25-26;16;Toulouse;Basket Landes;54;88;1;1456.9709430026855;1708.0370846985943;1449.34;1715.67
25-26;16;Roche Vendée;Bourges;74;83;0;1457.4966136661117;1753.1295661129548;1452.1;1756.99
25-26;16;Charnay;Villeneuve d'Ascq;67;79;0;1594.118676467161;1545.0652048752954;1574.16;1559.32
25-26;16;Lattes Montpellier;Chartres;77;69;0;1665.9225898806976;1329.1248136101053;1670.33;1325.98
25-26;16;Landerneau;Lyon;67;56;0;1499.9299967208326;1476.915114630317;1516.27;1465.24
25-26;17;Villeneuve d'Ascq;Angers;61;64;0;1559.3184114560597;1409.4244381321591;1534.7;1427.01
25-26;17;Basket Landes;Lattes Montpellier;68;56;0;1715.6664137580872;1670.3250202091813;1730.9;1659.45
25-26;17;Lyon;Bourges;86;75;0;1465.2419325625776;1756.9853238972871;1494.74;1735.91
25-26;17;Charleville-Mézières;Toulouse;87;70;0;1630.9747834582436;1449.3416139431927;1640.08;1442.84
25-26;17;Roche Vendée;Charnay;82;72;0;1452.0985527680466;1574.1641872540913;1475.51;1557.44
25-26;17;Chartres;Landerneau;60;78;0;1325.9802205183312;1516.2724516156677;1317.21;1522.54
25-26;18;Toulouse;Angers;52;51;0;1442.839670592307;1427.0058793809499;1459.54;1415.08
25-26;18;Basket Landes;Chartres;78;58;0;1730.8954883475305;1317.2091895772426;1733.86;1315.09
25-26;18;Landerneau;Bourges;66;78;0;1522.5374737164452;1735.9146642912845;1514.61;1741.58
25-26;18;Charleville-Mézières;Lyon;92;59;0;1640.0775041494835;1494.7408560109814;1650.66;1487.18
25-26;18;Lattes Montpellier;Charnay;68;69;0;1659.4471097881503;1557.4447208910312;1636.95;1573.51
25-26;18;Villeneuve d'Ascq;Roche Vendée;79;66;0;1534.7043937077526;1475.5058056763305;1549.25;1465.12
25-26;19;Angers;Landerneau;51;61;0;1415.07515175451;1514.6106918666105;1402.46;1523.62
25-26;19;Roche Vendée;Basket Landes;67;79;0;1465.1152716180095;1733.8566431201657;1458.97;1738.24
25-26;19;Bourges;Lattes Montpellier;91;87;0;1741.5766513268807;1636.9520418555167;1753.96;1628.11
25-26;19;Chartres;Charleville-Mézières;82;85;0;1315.0940790253603;1650.656116741114;1310.66;1653.82
25-26;19;Charnay;Toulouse;79;78;0;1573.5126265571982;1459.5426892693226;1585.47;1451.0
25-26;19;Lyon;Villeneuve d'Ascq;64;67;0;1487.1847041598166;1549.2511413894022;1472.78;1559.54
25-26;20;Charnay;Angers;76;65;0;1585.469480593265;1402.455860105964;1594.52;1395.99
25-26;20;Charleville-Mézières;Basket Landes;59;68;0;1653.820317296926;1738.2446438376655;1640.49;1747.77
25-26;20;Toulouse;Bourges;55;84;0;1451.0020792435607;1753.9605283993305;1445.79;1757.68
25-26;20;Villeneuve d'Ascq;Chartres;62;70;0;1559.5415764293696;1310.6641982472233;1531.29;1330.85
25-26;20;Lattes Montpellier;Landerneau;59;65;0;1628.1064153751954;1523.624471615572;1605.5;1539.77
25-26;20;Lyon;Roche Vendée;90;63;0;1472.7780951038624;1458.9720706135097;1489.58;1446.97
25-26;21;Angers;Lattes Montpellier;60;76;0;1395.9920739523266;1605.4968650016447;1387.93;1611.26
25-26;21;Basket Landes;Villeneuve d'Ascq;89;61;0;1747.7656373050459;1531.2855723528232;1755.58;1525.7
25-26;21;Bourges;Charnay;84;71;0;1757.6807658084706;1594.518781208357;1767.52;1587.49
